name,country
Umm Al Quwain City,United Arab Emirates
Ras Al Khaimah City,United Arab Emirates
Zayed City,United Arab Emirates
Khawr Fakkān,United Arab Emirates
Dubai,United Arab Emirates
Dibba Al-Fujairah,United Arab Emirates
Dibba Al-Hisn,United Arab Emirates
Sharjah,United Arab Emirates
Ar Ruways,United Arab Emirates
Al Fujairah City,United Arab Emirates
Al Ain City,United Arab Emirates
Ajman City,United Arab Emirates
Adh Dhayd,United Arab Emirates
Abu Dhabi,United Arab Emirates
Khalifah A City,United Arab Emirates
Bani Yas City,United Arab Emirates
Musaffah,United Arab Emirates
Al Shamkhah City,United Arab Emirates
Reef Al Fujairah City,United Arab Emirates
Zaranj,Afghanistan
Bāzār-e Yakāwlang,Afghanistan
Taloqan,Afghanistan
Shīnḏanḏ,Afghanistan
Shibirghān,Afghanistan
Shahrak,Afghanistan
Sar-e Pul,Afghanistan
Sang-e Chārak,Afghanistan
Aībak,Afghanistan
Rustāq,Afghanistan
Qarqīn,Afghanistan
Qarāwul,Afghanistan
Pul-e Khumrī,Afghanistan
Paghmān,Afghanistan
Nahrīn,Afghanistan
Maymana,Afghanistan
Mehtar Lām,Afghanistan
Mazār-e Sharīf,Afghanistan
Lashkar Gāh,Afghanistan
Kushk,Afghanistan
Kunduz,Afghanistan
Khōst,Afghanistan
Khulm,Afghanistan
Khāsh,Afghanistan
Khanabad,Afghanistan
Karukh,Afghanistan
Kandahār,Afghanistan
Kabul,Afghanistan
Jalālābād,Afghanistan
Jabal os Saraj,Afghanistan
Herāt,Afghanistan
Ghormach,Afghanistan
Ghazni,Afghanistan
Gereshk,Afghanistan
Gardez,Afghanistan
Fayzabad,Afghanistan
Farah,Afghanistan
Eslam Qaleh,Afghanistan
Charikar,Afghanistan
Baraki Barak,Afghanistan
Bāmyān,Afghanistan
Balkh,Afghanistan
Baghlān,Afghanistan
Ārt Khwājah,Afghanistan
Āsmār,Afghanistan
Asadābād,Afghanistan
Andkhōy,Afghanistan
Bāzārak,Afghanistan
Markaz-e Woluswalī-ye Āchīn,Afghanistan
Zwijndrecht,Belgium
Zwevegem,Belgium
Zottegem,Belgium
Zonhoven,Belgium
Zolder,Belgium
Zemst,Belgium
Zele,Belgium
Zedelgem,Belgium
Zaventem,Belgium
Wondelgem,Belgium
Woluwe-Saint-Lambert,Belgium
Wilrijk,Belgium
Willebroek,Belgium
Wevelgem,Belgium
Wetteren,Belgium
Westerlo,Belgium
Wervik,Belgium
Wavre,Belgium
Watermael-Boitsfort,Belgium
Waterloo,Belgium
Waregem,Belgium
Walcourt,Belgium
Visé,Belgium
Vilvoorde,Belgium
Verviers,Belgium
Uccle,Belgium
Turnhout,Belgium
Tubize,Belgium
Tournai,Belgium
Torhout,Belgium
Tongeren,Belgium
Tienen,Belgium
Tielt,Belgium
Tessenderlo,Belgium
Tervuren,Belgium
Temse,Belgium
Stekene,Belgium
Stabroek,Belgium
Soumagne,Belgium
Soignies,Belgium
Sint-Truiden,Belgium
Sint-Pieters-Leeuw,Belgium
Sint-Niklaas,Belgium
Sint-Kruis,Belgium
Sint-Katelijne-Waver,Belgium
Sint-Gillis-Waas,Belgium
Sint-Genesius-Rode,Belgium
Sint-Andries,Belgium
Sint-Amandsberg,Belgium
Seraing,Belgium
Schoten,Belgium
Schilde,Belgium
Schaerbeek,Belgium
Saint-Nicolas,Belgium
Saint-Josse-ten-Noode,Belgium
Saint-Gilles,Belgium
Saint-Ghislain,Belgium
Rotselaar,Belgium
Ronse,Belgium
Roeselare,Belgium
Rixensart,Belgium
